filename,Classes,Labels
1668966.jpg,Saab 340,94
0114403.jpg,737-500,5
1684410.jpg,Spitfire,95
0443952.jpg,Fokker 70,78
1469731.jpg,MD-90,88
1218928.jpg,A340-500,31
1334600.jpg,Saab 340,94
2243949.jpg,ATR-42,34
0977899.jpg,Gulfstream IV,80
1658584.jpg,ERJ 145,69
1193564.jpg,DH-82,57
1457085.jpg,Fokker 100,76
0062695.jpg,Fokker 50,77
0675670.jpg,A330-300,28
2119896.jpg,Saab 340,94
1996875.jpg,MD-80,86
1719924.jpg,CRJ-900,46
1723911.jpg,757-200,14
0586769.jpg,DC-6,54
1389257.jpg,A320,25
1244468.jpg,Hawk T1,82
1966298.jpg,E-170,64
1197395.jpg,727-200,1
2011623.jpg,DHC-6,59
0522941.jpg,ATR-42,34
1245276.jpg,Model B200,90
1382524.jpg,767-200,16
1312387.jpg,Tu-134,97
1471735.jpg,737-200,2
1320676.jpg,737-300,3
0773394.jpg,C-130,42
0438668.jpg,DC-6,54
0554716.jpg,DC-6,54
0693511.jpg,747-300,12
0184349.jpg,Saab 340,94
1255008.jpg,C-47,43
1292321.jpg,Saab 2000,93
0993942.jpg,Tu-134,97
1018862.jpg,737-900,9
1818164.jpg,BAE-125,39
1230221.jpg,Challenger 600,51
1001811.jpg,A320,25
2099324.jpg,A380,33
1545195.jpg,ERJ 145,69
0065828.jpg,Saab 2000,93
0127032.jpg,767-400,18
0523063.jpg,A330-200,27
1607515.jpg,Tornado,96
0681463.jpg,Hawk T1,82
1927638.jpg,Cessna 525,49
0713752.jpg,737-200,2
1551125.jpg,E-195,66
0487363.jpg,CRJ-200,44
1053135.jpg,DHC-6,59
1429258.jpg,MD-87,87
1553876.jpg,DH-82,57
1173007.jpg,DHC-6,59
1826676.jpg,Yak-42,99
1663379.jpg,Gulfstream V,81
1859259.jpg,Spitfire,95
1010412.jpg,PA-28,91
0577856.jpg,Il-76,83
1004743.jpg,767-200,16
1908623.jpg,DHC-1,58
2047835.jpg,Cessna 172,47
1493118.jpg,757-200,14
0143349.jpg,Fokker 50,77
1667002.jpg,PA-28,91
2173639.jpg,A318,23
1931060.jpg,ERJ 145,69
1554795.jpg,MD-11,85
1747505.jpg,737-600,6
1461267.jpg,DC-10,52
1133688.jpg,Fokker 100,76
1857207.jpg,777-300,20
1187431.jpg,707-320,0
1337502.jpg,Cessna 208,48
0920409.jpg,727-200,1
1544178.jpg,Yak-42,99
0796384.jpg,Dornier 328,63
0201665.jpg,BAE 146-200,37
2066357.jpg,A318,23
0774291.jpg,MD-90,88
0927837.jpg,Fokker 50,77
0907359.jpg,727-200,1
1047313.jpg,BAE-125,39
